Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5
External Fragmentation Per Link;2;<5-4>; ;0.020585524777388682;0.03520273155170914;0.015503353772414111;0.019731601201140307;0.01335557004700266
External Fragmentation Per Link;2;<5-6>; ;0.028762235422383438;0.027730144489522168;0.014296501365803913;0.013577166748081876;0.01930701924014184
External Fragmentation Per Link;2;<6-5>; ;0.04131393175503731;0.0172056242802055;0.0335292107724887;0.015763239213049146;0.02652766677014963
External Fragmentation Per Link;3;<1-2>; ;0.014133566085790288;0.0013338775120077548;0.005484361687540604;0.0040162960952003605;0.01768702925064209
External Fragmentation Per Link;3;<2-1>; ;0.001689454589366209;0.007731905363368527;0.002206874800031931;0.005720612834148287;0.007396646191369786
External Fragmentation Per Link;3;<2-3>; ;0.01363344220566684;0.001957732851607045;0.0029203406716152435;0.011593165832682193;0.002264990105613257
External Fragmentation Per Link;3;<3-2>; ;0.0013113730173532456;0.01504459621910092;0.01574267454022602;0.0024935134328395855;0.005410942484185951
External Fragmentation Per Link;3;<1-6>; ;0.07104893970675018;0.07405892781068582;0.05154889025749056;0.09503396951601592;0.0782703824501816
External Fragmentation Per Link;3;<2-5>; ;0.08255113434157078;0.08744793448616749;0.07888327936716802;0.05113020347232384;0.07730481094991665
External Fragmentation Per Link;3;<3-4>; ;0.06259615937430842;0.0859919164839729;0.11820061058796658;0.08757815209174888;0.09665324740944684
External Fragmentation Per Link;3;<4-3>; ;0.07367325600498924;0.09129307495856166;0.06840379359864687;0.08159464274634122;0.09947317198446928
External Fragmentation Per Link;3;<5-2>; ;0.04817890362270624;0.08145374970981678;0.06717202034548876;0.07967905348594348;0.08980053259076531
External Fragmentation Per Link;3;<6-1>; ;0.06739062470505942;0.11547268877754065;0.06592723595115588;0.08237805864289001;0.126653791885274
External Fragmentation Per Link;3;<4-5>; ;0.028733785304189526;0.02830285566477603;0.026291872512658857;0.009214927767035459;0.015414104626181948
External Fragmentation Per Link;3;<5-4>; ;0.037572801553121246;0.011589591011805364;0.016832505097837784;0.01531542721427976;0.0198458398214527
External Fragmentation Per Link;3;<5-6>; ;0.015703323746977086;0.021324702765843268;0.012012946605443397;0.026263757582854284;0.03674614554941845
External Fragmentation Per Link;3;<6-5>; ;0.0230643946162962;0.01918145482756945;0.01832192487425573;0.033712159553220065;0.01918317142164866


