Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5
Requisitons per number of slots per link;2;<2-3>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<2-3>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<2-3>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<6-1>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;2;<6-1>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<6-1>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<6-1>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<3-4>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;2;<3-4>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<3-4>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<3-4>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<2-5>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;2;<2-5>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<2-5>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<2-5>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<5-2>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;2;<5-2>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<5-2>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<5-2>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<4-3>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;2;<4-3>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<4-3>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<4-3>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<1-6>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;2;<1-6>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<1-6>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<1-6>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<4-5>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;2;<4-5>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<4-5>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<4-5>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<5-4>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;2;<5-4>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<5-4>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<5-4>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<6-5>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;2;<6-5>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<6-5>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<6-5>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<5-6>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;2;<5-6>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<5-6>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;2;<5-6>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<2-1>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;3;<2-1>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<2-1>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<2-1>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<1-2>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;3;<1-2>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<1-2>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<1-2>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<3-2>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;3;<3-2>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<3-2>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<3-2>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<2-3>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;3;<2-3>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<2-3>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<2-3>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<6-1>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;3;<6-1>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<6-1>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<6-1>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<3-4>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;3;<3-4>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
