Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Requisitons per number of slots per link;4;<3-2>;5;-; ;0.16682509505703422;0.17239685658153242;0.18488204140587386;0.18349928876244664;0.17140105922002888;0.1773049645390071;0.17530266343825665;0.173621103117506;0.18363463368220742;0.17740384615384616
Requisitons per number of slots per link;4;<3-2>;9;-; ;0.06226235741444867;0.05451866404715128;0.05633124699085219;0.06211474632527264;0.05922002888781897;0.05531914893617021;0.059564164648910414;0.06091127098321343;0.056612749762131306;0.05
Requisitons per number of slots per link;4;<1-6>;1;-; ;0.34978601997146935;0.3605088175773345;0.35896002236511043;0.362478286045165;0.3635069740962141;0.363144403303902;0.36254295532646047;0.36345323741007196;0.35411764705882354;0.34991222937390287
Requisitons per number of slots per link;4;<1-6>;2;-; ;0.18373751783166906;0.16449840994507084;0.16214705060106235;0.1679212507237985;0.16623968118417307;0.172885217886642;0.16953035509736541;0.1697841726618705;0.1585294117647059;0.16003510825043885
Requisitons per number of slots per link;4;<1-6>;3;-; ;0.1529243937232525;0.16189650187915583;0.17221135029354206;0.1740011580775912;0.16510105323085683;0.16747365422956423;0.1672394043528064;0.1614388489208633;0.16823529411764707;0.17203042715038033
Requisitons per number of slots per link;4;<1-6>;5;-; ;0.17118402282453637;0.17432784041630528;0.16130835896002235;0.15836711059640995;0.1537147736976943;0.16234690971233268;0.16065292096219932;0.16460431654676258;0.1726470588235294;0.1734932709186659
Requisitons per number of slots per link;4;<1-6>;9;-; ;0.14236804564907277;0.13876843018213356;0.1453732177802628;0.1372321945570353;0.15143751779106177;0.1341498148675591;0.1400343642611684;0.14071942446043165;0.14647058823529413;0.14452896430661205
Requisitons per number of slots per link;4;<12-9>;1;-; ;0.3381580632765467;0.3419997413012547;0.3523614488672725;0.3475609756097561;0.34065510597302506;0.3457666494579246;0.34449258238151503;0.34530601659751037;0.34043377226955845;0.3497281905254983
Requisitons per number of slots per link;4;<12-9>;2;-; ;0.1581913667221724;0.1490104772991851;0.14117496480225267;0.15154979674796748;0.14720616570327552;0.15797625193598347;0.15032164894315347;0.15054460580912862;0.14575264652723988;0.15182500647165414
Requisitons per number of slots per link;4;<12-9>;3;-; ;0.1581913667221724;0.15521924718665114;0.1573019326763087;0.1520579268292683;0.14527938342967245;0.14558595766649457;0.15202835762111067;0.15845435684647302;0.1531112832429641;0.15117784105617396
