Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5
bandwidth blocking probabilities per pair;1;all;5;1; ;0.9334700851947306;0.9988732717754278;0.9793816851472064;0.9604137204397662;0.9992971285668542
bandwidth blocking probabilities per pair;1;all;1;3; ;0.983653432093396;0.9942078922065164;0.9643819723541679;0.9790507481290441;1.0
bandwidth blocking probabilities per pair;1;all;1;6; ;0.9797667613530969;0.919625567605113;0.9940232352683359;0.9710786448480498;0.986946042165317
bandwidth blocking probabilities per pair;1;all;4;3; ;1.0;1.0;0.9781655689220636;0.9851265931802106;1.0
bandwidth blocking probabilities per pair;1;all;5;2; ;0.9996474941576415;1.0;0.9897264635192295;0.9855656851706864;0.9940971675250913
bandwidth blocking probabilities per pair;1;all;4;1; ;1.0;0.9907911436406234;0.9718728765908733;0.9843886043358917;0.9956578216204386
bandwidth blocking probabilities per pair;1;all;3;1; ;0.9998805325353132;0.9711959354907993;0.9764079968938556;0.9992221325577242;0.9984589975091608
bandwidth blocking probabilities per pair;1;all;6;2; ;1.0;0.9796350947641768;1.0;0.9988378190612041;1.0
bandwidth blocking probabilities per pair;1;all;2;1; ;0.9613185611359344;0.9841692470069409;0.9769117523020439;0.9900377326125733;0.9523342138836067
bandwidth blocking probabilities per pair;1;all;3;6; ;0.9910299843370742;1.0;0.9835599620528603;0.9799593479635044;1.0
bandwidth blocking probabilities per pair;1;all;4;5; ;0.9997980370139369;0.9066202063472784;0.9960240684476861;0.9967346645844005;1.0
bandwidth blocking probabilities per pair;1;all;5;6; ;0.9992252628549331;0.9999837446474412;0.94346866904283;0.9871783955455825;0.9861564697631479
bandwidth blocking probabilities per pair;1;all;1;4; ;0.9814865240875934;0.9886060855828476;0.989223787818645;0.949522142157455;0.9773875646645446
bandwidth blocking probabilities per pair;1;all;3;4; ;0.9681307319708865;0.9997848934669629;0.9881396044329992;0.9956634039787057;0.996810360105999
bandwidth blocking probabilities per pair;1;all;1;5; ;0.9706276751452416;1.0;0.9961606447220154;0.982768396138096;0.9594411051590558
bandwidth blocking probabilities per pair;1;all;2;6; ;0.9655627009995678;0.9943333286898605;0.9596744845755979;0.9775370108287315;1.0
bandwidth blocking probabilities per pair;1;all;6;3; ;0.9774893417816353;0.9724485578760326;0.9544904666189885;1.0;1.0
bandwidth blocking probabilities per pair;1;all;1;2; ;0.9985061330140462;0.9931939152764206;0.9809071661467823;0.9780655067921056;0.9998697616754181
bandwidth blocking probabilities per pair;1;all;6;5; ;0.9582832317615156;0.9805099353659213;0.9681651758259986;0.9488569700566665;0.9941095735799292
bandwidth blocking probabilities per pair;2;all;6;1; ;1.0;1.0;1.0;1.0;0.9996822492192698
bandwidth blocking probabilities per pair;2;all;4;6; ;0.986888930649319;1.0;1.0;0.9836222392908399;0.9565179311002907
bandwidth blocking probabilities per pair;2;all;3;5; ;0.9980882856382901;0.9889530200332486;0.9876205714717492;0.9979670187384436;0.999414178727752
bandwidth blocking probabilities per pair;2;all;2;5; ;1.0;1.0;0.9838156218439107;0.9752272202253797;1.0
bandwidth blocking probabilities per pair;2;all;5;3; ;0.9887469774129479;1.0;0.9744405583737338;1.0;1.0
bandwidth blocking probabilities per pair;2;all;3;2; ;0.9862608148428145;0.9995293519197294;0.9946178367920283;0.9914524894138111;0.9860582904932739
bandwidth blocking probabilities per pair;2;all;2;4; ;1.0;1.0;1.0;0.9988411827871476;0.9953581142730042
bandwidth blocking probabilities per pair;2;all;6;4; ;0.9956683689357784;0.9908207269655102;0.9707393064996578;1.0;1.0
bandwidth blocking probabilities per pair;2;all;2;3; ;1.0;0.9765449609574612;0.9989767267810772;1.0;0.9946931096413696
bandwidth blocking probabilities per pair;2;all;5;4; ;0.9672789700238039;0.9981698057570313;1.0;0.998353670764595;0.9852029687283103
bandwidth blocking probabilities per pair;2;all;4;2; ;0.9955950480339955;1.0;0.9700711961499207;0.9930190257377379;1.0
bandwidth blocking probabilities per pair;2;all;5;1; ;1.0;1.0;0.9929924080009085;0.9791120813222165;0.9991966589000154
bandwidth blocking probabilities per pair;2;all;1;3; ;1.0;1.0;0.9712869706407518;1.0;0.9845529049619944
bandwidth blocking probabilities per pair;2;all;1;6; ;0.9907579673708623;0.9938307118468844;0.9647514200514383;0.9570916519002821;1.0
bandwidth blocking probabilities per pair;2;all;4;3; ;1.0;1.0;1.0;1.0;1.0
bandwidth blocking probabilities per pair;2;all;5;2; ;1.0;0.9903476546676985;1.0;0.9966767708570723;1.0
bandwidth blocking probabilities per pair;2;all;4;1; ;1.0;0.951245637869708;1.0;0.995835483363888;1.0
bandwidth blocking probabilities per pair;2;all;3;1; ;1.0;1.0;1.0;1.0;1.0
bandwidth blocking probabilities per pair;2;all;6;2; ;1.0;0.979196653653511;1.0;1.0;0.9984013427964018
bandwidth blocking probabilities per pair;2;all;2;1; ;0.9553089818329953;1.0;0.9258567385515315;0.9998879303986369;0.9823387356965652
bandwidth blocking probabilities per pair;2;all;3;6; ;1.0;0.9873337266733115;0.9825299220375068;1.0;0.9998702450607088
bandwidth blocking probabilities per pair;2;all;4;5; ;0.9783410018095088;1.0;0.9921167425565753;1.0;0.989574706502279
bandwidth blocking probabilities per pair;2;all;5;6; ;1.0;0.9764194869137703;1.0;1.0;0.9946534475769837
