Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5
bandwidth blocking probabilities per pair;2;all;3;2; ;0.7183534780249679;0.7208739863059426;0.7255430340093604;0.7151274394748022;0.7174973987223228
bandwidth blocking probabilities per pair;3;all;1;4; ;0.8102731878729548;0.8133014712027751;0.8069568839146969;0.802646356625286;0.8127131435517417
bandwidth blocking probabilities per pair;3;all;2;3; ;0.8097835138639653;0.8085851292025314;0.8126087495358034;0.8061523932158493;0.8089862251744364
bandwidth blocking probabilities per pair;3;all;2;1; ;0.8141080117216392;0.8211651470725515;0.8078312274184096;0.8090271039829985;0.8048388650631815
bandwidth blocking probabilities per pair;3;all;4;2; ;0.8157814934551814;0.8028257684352558;0.8111905739618323;0.807653310663864;0.802945671798305
bandwidth blocking probabilities per pair;3;all;2;4; ;0.7946752631385602;0.8021172796059586;0.8062888070510564;0.8018652063152025;0.8083271587354286
bandwidth blocking probabilities per pair;3;all;3;4; ;0.8145966045371024;0.8100801690422091;0.8097909886367801;0.8135942120301167;0.8022034275509443
bandwidth blocking probabilities per pair;3;all;3;1; ;0.8052153709185768;0.8021189366280765;0.7959319967122412;0.8087222299225508;0.809808084097192
bandwidth blocking probabilities per pair;3;all;4;1; ;0.8041333074690145;0.808288703339695;0.8204158424342639;0.805551746858997;0.8119297336022288
bandwidth blocking probabilities per pair;3;all;1;2; ;0.797424071272813;0.8041414139487248;0.8045628481493794;0.8113555869252556;0.813960765240961
bandwidth blocking probabilities per pair;3;all;4;3; ;0.8080122881152855;0.8092900258237079;0.800475142876471;0.8117059255948165;0.8079524277986949
bandwidth blocking probabilities per pair;3;all;1;3; ;0.8075759738946328;0.8038288444771847;0.8124601047215666;0.8030381501917434;0.7990172513305874
bandwidth blocking probabilities per pair;3;all;3;2; ;0.808959012157675;0.8151140861260234;0.8078974329937346;0.8011758257812377;0.8095052521601914
bandwidth blocking probabilities per pair;4;all;1;4; ;0.854874790654484;0.850112469813167;0.8530130115040195;0.8585572101290847;0.8613883339196544
bandwidth blocking probabilities per pair;4;all;2;3; ;0.852173213111891;0.8524707312027543;0.8595413367200346;0.857418828560495;0.8599672260517377
bandwidth blocking probabilities per pair;4;all;2;1; ;0.8554848848963993;0.8570070810036576;0.8563686116527732;0.8582558259302424;0.8527179006136709
bandwidth blocking probabilities per pair;4;all;4;2; ;0.8465431499742073;0.8516619806342781;0.8566674140735351;0.8555493642543455;0.8549631449180617
