Metrics;load point;node; ;rep1;rep2;rep3;rep4;rep5
Tx Utilization Per Node;3;3; ;14.475067742548319;14.504134545200028;14.491945885952545;14.46767855535891;14.458099609043005
Tx Utilization Per Node;3;4; ;14.478247392786793;14.42897281299057;14.459679435262121;14.468568457469678;14.460649328573856
Tx Utilization Per Node;4;1; ;14.566177720450751;14.599484056753758;14.590705022447532;14.611162772095069;14.585145633980263
Tx Utilization Per Node;4;2; ;14.573556908740038;14.572217056123826;14.574736778954316;14.56506784253732;14.591894891561928
Tx Utilization Per Node;4;3; ;14.601593824679286;14.588505264420913;14.57661657217706;14.61461239263681;14.595724470308266
Tx Utilization Per Node;4;4; ;14.58501564827869;14.609812920578737;14.600743918169002;14.594564597894232;14.59333473317935
Tx Utilization Per Node;5;1; ;14.681315055343912;14.668016518183;14.672506024337324;14.679505254422013;14.647428782833888
Tx Utilization Per Node;5;2; ;14.655687874333823;14.651758306586276;14.663137054923958;14.661207267200608;14.670096289408166
Tx Utilization Per Node;5;3; ;14.649718530961595;14.653358130605634;14.65595784463709;14.669496355400906;14.654178040415553
Tx Utilization Per Node;5;4; ;14.667856535781064;14.673645898951115;14.655697873233944;14.677905430402655;14.68231494535601


Rx Utilization Per Node;1;1; ;13.408105108438072;13.441801401845797;13.424213336532981;13.302416734159243;13.491005989341172
Rx Utilization Per Node;1;2; ;13.393516713161553;13.392796792352842;13.38295787463379;13.425963144054155;13.375988641249462
Rx Utilization Per Node;1;3; ;13.369019407865135;13.347061823199448;13.376718560958295;13.415964243933168;13.289008209097
Rx Utilization Per Node;1;4; ;13.424673285938546;13.377558468568457;13.36886942436332;13.375868654448011;13.4229834718181
Rx Utilization Per Node;2;1; ;14.193418723940367;14.206817250102489;14.25000249972503;14.234604193538711;14.258241593424723
Rx Utilization Per Node;2;2; ;14.218016018237995;14.218635950045496;14.20460749317575;14.233474317825038;14.230624631290558
Rx Utilization Per Node;2;3; ;14.23986361500235;14.259201487836338;14.219455859855415;14.245822959474458;14.231994480607133
Rx Utilization Per Node;2;4; ;14.249362570117286;14.262321144674086;14.21270660227375;14.22052574216836;14.216696163422023
Rx Utilization Per Node;3;1; ;14.469888312285649;14.486946435892051;14.454370019297878;14.486896441391448;14.468848426673066
Rx Utilization Per Node;3;2; ;14.466188719240883;14.482336942936277;14.45004049554549;14.488096309405964;14.47487776344602
Rx Utilization Per Node;3;3; ;14.475067742548319;14.504134545200028;14.491945885952545;14.46767855535891;14.458099609043005
Rx Utilization Per Node;3;4; ;14.478247392786793;14.42897281299057;14.459679435262121;14.468568457469678;14.460649328573856
Rx Utilization Per Node;4;1; ;14.566177720450751;14.599484056753758;14.590705022447532;14.611162772095069;14.585145633980263
Rx Utilization Per Node;4;2; ;14.573556908740038;14.572217056123826;14.574736778954316;14.56506784253732;14.591894891561928
Rx Utilization Per Node;4;3; ;14.601593824679286;14.588505264420913;14.57661657217706;14.61461239263681;14.595724470308266
Rx Utilization Per Node;4;4; ;14.58501564827869;14.609812920578737;14.600743918169002;14.594564597894232;14.59333473317935
Rx Utilization Per Node;5;1; ;14.681315055343912;14.668016518183;14.672506024337324;14.679505254422013;14.647428782833888
Rx Utilization Per Node;5;2; ;14.655687874333823;14.651758306586276;14.663137054923958;14.661207267200608;14.670096289408166
Rx Utilization Per Node;5;3; ;14.649718530961595;14.653358130605634;14.65595784463709;14.669496355400906;14.654178040415553
Rx Utilization Per Node;5;4; ;14.667856535781064;14.673645898951115;14.655697873233944;14.677905430402655;14.68231494535601


Max Tx Utilization Per Node;1;1; ;15;15;15;15;15
Max Tx Utilization Per Node;1;2; ;15;15;15;15;15
Max Tx Utilization Per Node;1;3; ;15;15;15;15;15
Max Tx Utilization Per Node;1;4; ;15;15;15;15;15
Max Tx Utilization Per Node;2;1; ;15;15;15;15;15
Max Tx Utilization Per Node;2;2; ;15;15;15;15;15
Max Tx Utilization Per Node;2;3; ;15;15;15;15;15
Max Tx Utilization Per Node;2;4; ;15;15;15;15;15
Max Tx Utilization Per Node;3;1; ;15;15;15;15;15
Max Tx Utilization Per Node;3;2; ;15;15;15;15;15
Max Tx Utilization Per Node;3;3; ;15;15;15;15;15
Max Tx Utilization Per Node;3;4; ;15;15;15;15;15
Max Tx Utilization Per Node;4;1; ;15;15;15;15;15
Max Tx Utilization Per Node;4;2; ;15;15;15;15;15
Max Tx Utilization Per Node;4;3; ;15;15;15;15;15
Max Tx Utilization Per Node;4;4; ;15;15;15;15;15
Max Tx Utilization Per Node;5;1; ;15;15;15;15;15
Max Tx Utilization Per Node;5;2; ;15;15;15;15;15
Max Tx Utilization Per Node;5;3; ;15;15;15;15;15
Max Tx Utilization Per Node;5;4; ;15;15;15;15;15


Max Rx Utilization Per Node;1;1; ;15;15;15;15;15
Max Rx Utilization Per Node;1;2; ;15;15;15;15;15
Max Rx Utilization Per Node;1;3; ;15;15;15;15;15
Max Rx Utilization Per Node;1;4; ;15;15;15;15;15
Max Rx Utilization Per Node;2;1; ;15;15;15;15;15
Max Rx Utilization Per Node;2;2; ;15;15;15;15;15
Max Rx Utilization Per Node;2;3; ;15;15;15;15;15
Max Rx Utilization Per Node;2;4; ;15;15;15;15;15
Max Rx Utilization Per Node;3;1; ;15;15;15;15;15
Max Rx Utilization Per Node;3;2; ;15;15;15;15;15
